Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","1994","1994","USD","1028.7","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","1995","1995","USD","1460.2","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","1996","1996","USD","1587.5","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","1997","1997","USD","1760.9","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","1998","1998","USD","1480.1","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","1999","1999","USD","1524.2","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","2001","2001","USD","1339.3","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","2002","2002","USD","1928.4","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","2003","2003","USD","1780.8","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","2004","2004","USD","1775.9","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","2005","2005","USD","1943.7","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","2006","2006","USD","2262.1","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","2007","2007","USD","2407.7","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","2008","2008","USD","3157.6","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","2010","2010","USD","1045","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","2011","2011","USD","1072.6","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","2012","2012","USD","1094.2","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","2013","2013","USD","1076.5","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","661","Cocoa, beans","1991","1991","LCU","10158","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","661","Cocoa, beans","1992","1992","LCU","12745","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","661","Cocoa, beans","1993","1993","LCU","25278","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","661","Cocoa, beans","1994","1994","LCU","61180","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","661","Cocoa, beans","1995","1995","LCU","73402","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","661","Cocoa, beans","1996","1996","LCU","80222","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","661","Cocoa, beans","1997","1997","LCU","89687","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","661","Cocoa, beans","1998","1998","LCU","79600","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","661","Cocoa, beans","1999","1999","LCU","85766","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","661","Cocoa, beans","2000","2000","LCU","83818","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","661","Cocoa, beans","2010","2010","LCU","155180","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","661","Cocoa, beans","2011","2011","LCU","162830","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","661","Cocoa, beans","2012","2012","LCU","68610","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","661","Cocoa, beans","2013","2013","LCU","67930","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","661","Cocoa, beans","1991","1991","SLC","10158","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","661","Cocoa, beans","1992","1992","SLC","12745","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","661","Cocoa, beans","1993","1993","SLC","25278","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","661","Cocoa, beans","1994","1994","SLC","61180","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","661","Cocoa, beans","1995","1995","SLC","73402","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","661","Cocoa, beans","1996","1996","SLC","80222","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","661","Cocoa, beans","1997","1997","SLC","89687","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","661","Cocoa, beans","1998","1998","SLC","79600","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","661","Cocoa, beans","1999","1999","SLC","85766","","Official data"
